VisitorTeam,Away_FGM,Away_FGA,Away_FGPct,Away_3PM,Away_3PA,Away_3PPct,Away_FTM,Away_FTA,Away_FT_Pct ,Away_ORB,Away_DRB,Away_TRB,Away_AST,Away_TO,Away_STL,Away_BLK,Away_PF,Away_PTS.G,Season
Philadelphia 76ers,36.4,79,46.1,3.3,10,33.3,19.2,25.4,75.7,10.9,26.9,37.8,19.6,12,7.4,5.4,20.3,95.2,2007
Phoenix Suns,41.6,84.1,49.5,9.8,23.8,41,17.8,22.4,79.4,8.7,30.6,39.3,27,13.9,6.7,4.9,22.4,94.5,2007
Portland Trail Blazers,34.3,77.4,44.3,5,14.8,33.9,18.8,24.8,75.8,11.1,27.9,39,17.4,15.4,6.7,3.8,21.4,94.2,2007
Sacramento Kings,35.1,79.9,44,6.1,17.7,34.4,22.4,29.5,76.1,9.8,28.5,38.3,20.5,15.7,6.6,5.3,23.5,93.9,2007
San Antonio Spurs,36.4,77,47.2,7.9,20,39.3,18,23,78.2,8.8,30.7,39.5,22,14.7,7,4.4,23,93.9,2007
Toronto Raptors,35.8,80,44.8,5.8,17.8,32.7,19.2,24.1,79.8,8.8,29.8,38.6,20.9,16.2,6.7,5.1,23.5,93,2007
Utah Jazz,36.2,79.2,45.7,4.4,13.7,32.2,21.6,29.4,73.4,12.6,29.2,41.9,23.6,15,6.6,4.8,24.1,92.5,2007
Washington Wizards,36.6,82.9,44.2,6.9,19.8,34.9,23,30,76.6,11.9,29.5,41.4,19.1,15.6,6.7,5.3,24.5,90.8,2007
Atlanta Hawks,35,79.5,44,4.9,13,37.3,19.9,26.2,76,12.2,29.2,41.4,19.4,14.5,7.5,5.3,20.3,94.7,2008
Boston Celtics,36.1,77.1,46.8,8,20.1,39.8,20.6,26.6,77.3,10.1,31.7,41.8,20.2,14.3,8.5,4.6,23.3,100.7,2008
Brooklyn Nets,34.9,78.3,44.5,6,17.3,34.8,18.7,26.2,71.3,10.5,30,40.5,22.7,14.3,6.3,4.4,22.4,94.4,2008
Charlotte Hornets,35.3,79.4,44.5,6.5,18,36.2,17.1,24.1,71.2,10.4,29.4,39.8,21.3,14.5,7.6,4.4,21.3,94.3,2008
Chicago Bulls,35.7,82.5,43.2,6,16.1,37.2,18.7,25.2,74.2,11.8,29.6,41.4,21.8,14.3,7.4,4.7,22.5,96,2008
Cleveland Cavaliers,35.3,81.4,43.4,7.3,19.5,37.5,17,24.4,69.8,13.2,30.2,43.4,18.3,13.9,7,4.3,21.9,95,2008
Dallas Mavericks,35.7,79.3,45,5.8,17.8,32.4,20,24.8,80.9,10.8,30.8,41.6,19.7,11.9,5.7,4.1,22.1,97.1,2008
Denver Nuggets,40.3,85.1,47.4,7.2,20.1,35.7,20.6,28,73.7,10.6,30.8,41.3,22.1,14.4,9.4,5.6,21.5,108.4,2008
Detroit Pistons,35.5,79.4,44.7,5.9,16.1,36.4,18.2,23.5,77.3,10.9,29.6,40.5,20.4,11,6.7,4.8,20.9,95.1,2008
Golden State Warriors,40.4,89.3,45.2,9.3,26.6,34.9,18.2,23.8,76.3,12,30,42,20.6,13.2,9.1,4.1,23.5,108.2,2008
Houston Rockets,35.8,80.6,44.4,6.6,19.6,33.5,17.4,23.2,75.1,11.6,32.2,43.8,20.2,13.4,7.3,4.8,20.7,95.6,2008
Indiana Pacers,37.4,84,44.5,9,24.8,36.1,18,23.9,75.3,10.2,31.6,41.8,22.7,15.7,8.1,4.4,23.4,101.9,2008
Los Angeles Clippers,34.6,79.3,43.7,4.9,13.5,36.5,20.9,26.5,78.8,9.7,30.1,39.9,19.6,13.6,7.3,4.6,21.4,95.1,2008
Los Angeles Lakers,39.5,82.6,47.8,7.9,21.4,36.9,20,26.1,76.5,10,32.9,42.9,23.1,13.2,7.6,4.7,20.6,107,2008
Memphis Grizzlies,36.3,83,43.7,6.8,21,32.3,18.7,25.5,73.1,10.5,31.2,41.6,19.2,14.2,6.5,4.6,19.5,98,2008
Miami Heat,33.6,77,43.6,6.1,16.2,37.7,16.7,23.6,70.6,9.2,28.2,37.5,20.5,13.9,6.5,3.9,20.6,90,2008
Milwaukee Bucks,36.5,83.1,43.9,5.1,16,31.9,15.9,21.7,73,13.3,28.3,41.6,19.4,14.8,6.2,4.4,21.7,93.9,2008
Minnesota Timberwolves,37.3,83.6,44.6,5.5,15.6,35.4,14.5,19.8,73.2,11.8,28.8,40.6,19.3,14.1,7.8,3.7,23.5,94.6,2008
New Orleans Pelicans,38.3,83.4,45.9,8,20,39.8,15.1,19.6,76.9,11.6,30.1,41.7,20,11.2,7.3,3.8,19.2,99.6,2008
New York Knicks,36.1,83.4,43.3,6,17.4,34.6,18.7,24.6,76,11.9,29.9,41.8,19.7,13.6,6.6,3,22.1,96.9,2008
Oklahoma City Thunder,37.8,86.1,43.9,3.7,11.4,32.8,16.9,22.4,75.6,11.9,33,44.9,21.3,16.2,6.6,4.5,20.4,96.3,2008
Orlando Magic,37.1,79,47,9.7,25.9,37.3,20.6,28.3,72.7,9.2,32.9,42,20.9,13.8,6.9,4,21.2,104.4,2008
Philadelphia 76ers,37.1,81.6,45.5,3.8,11.1,34.1,18.3,25.6,71.4,13.3,28.1,41.4,19.4,13.5,8.2,4.9,19.7,96.3,2008
Phoenix Suns,40.9,81.8,50,8.7,22,39.4,17.3,22.1,78.5,8.3,32.1,40.5,28,15,7,5.1,19.8,107.8,2008
Portland Trail Blazers,35,80.1,43.7,6.2,17.2,36.2,16.7,21.8,76.4,11.3,29.3,40.6,18.9,12.4,5,4.4,20.7,92.9,2008
Sacramento Kings,37.1,79.8,46.5,6.3,16.6,37.9,20.1,25.6,78.8,9.8,29.3,39.1,20.4,15.9,7.5,3.6,23.1,100.7,2008
San Antonio Spurs,34.8,78,44.7,7,19.7,35.7,16.1,21.2,75.9,9.3,31.1,40.4,19.5,11.9,6.1,3.7,19.2,92.8,2008
Toronto Raptors,37.7,81.8,46.1,6.6,17.1,38.5,16.2,20.2,80.3,9.3,29.9,39.2,23.4,12.1,7,3.7,19.7,98.2,2008
Utah Jazz,39,81,48.2,4,12.5,32.3,21.4,28.4,75.6,12.1,28.6,40.7,25.3,15.3,8.2,4.1,24.8,103.5,2008
Washington Wizards,35.5,81.9,43.4,6.9,19.7,34.9,19.2,24.6,78.1,12.1,29.4,41.5,18.6,12.8,7.3,4.6,20.2,97.2,2008
